,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,Turn Me On,Norah Jones,154800,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz",170.645,-10.694,0.18,0.429,10,4.4e-06,0.485,calm
1,Chachachá,Jósean Log,215986,mexican indie,110.827,-10.944,0.321,0.68,5,4.67e-06,0.416,calm
2,Amsterdam,Gregory Alan Isakov,198640,"indie folk, pop folk, stomp and flutter, stomp and holler",152.047,-12.51,0.429,0.553,3,0.135,0.532,calm
3,Pink Moon,Nick Drake,124000,"british folk, folk, melancholia, singer-songwriter",82.344,-8.471,0.427,0.642,3,0.0904,0.404,calm
4,Cold Little Heart,Michael Kiwanuka,597600,"british soul, neo soul, psychedelic soul, soul",108.01,-7.815,0.404,0.489,8,0.0485,0.153,calm
5,Resin,Dustin Tebbutt,203939,"australian indie, indie anthem-folk, indie folk, modern indie folk",83.295,-12.925,0.373,0.259,1,0.181,0.196,calm
6,Je te laisserai des mots,Patrick Watson,160853,"indie folk, indie quebecois",132.731,-16.757,0.187,0.303,2,0.489,0.213,calm
7,Ain't No Sunshine,Bill Withers,125093,"classic soul, funk, quiet storm, soul",78.169,-11.451,0.415,0.527,4,1.72e-05,0.515,calm
8,The Scientist,Coldplay,309600,"permanent wave, pop",146.277,-7.224,0.442,0.557,5,1.46e-05,0.213,calm
9,Love Love,Gilsons,205984,nova mpb,127.015,-8.509,0.5,0.699,10,0.0,0.266,calm
10,The Lamp Is Low,Laurindo Almeida,170790,"bossa nova, brazilian jazz, jazz guitar, violao, violao classico",102.605,-14.323,0.313,0.486,7,0.948,0.199,calm
11,Don't Know Why,Norah Jones,186251,"contemporary vocal jazz, jazz pop, neo mellow, vocal jazz",88.609,-11.216,0.219,0.745,5,1.8e-05,0.635,calm
12,What A Wonderful World,Louis Armstrong,139226,"adult standards, dixieland, harlem renaissance, jazz trumpet, new orleans jazz, soul, swing, vocal jazz",77.082,-20.652,0.165,0.271,5,1.6e-06,0.203,calm
13,Big Black Car,Gregory Alan Isakov,217466,"indie folk, pop folk, stomp and flutter, stomp and holler",110.044,-15.926,0.186,0.6,3,0.00102,0.468,calm
