,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,Ric Flair Drip (with Metro Boomin),Offset,172800,"atl hip hop, hip hop, pop rap, rap, trap",100.007,-8.28,0.428,0.88,9,5.05e-05,0.333,hype
1,Glock In My Lap,21 Savage,193591,"atl hip hop, hip hop, rap",130.029,-6.439,0.733,0.847,10,1.04e-05,0.202,hype
2,I'm Good (Blue),David Guetta,175238,"big room, dance pop, edm, pop, pop dance",128.04,-3.673,0.965,0.561,7,7.07e-06,0.304,hype
3,FE!N (feat. Playboi Carti),Travis Scott,191700,"hip hop, rap, slap house",148.038,-2.777,0.882,0.569,3,0.0,0.201,hype
4,Yes Indeed,Lil Baby,142273,"atl hip hop, atl trap, rap, trap",119.957,-9.309,0.346,0.963,5,0.0,0.562,hype
5,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,109750,"hip pop, pop, queens hip hop, rap",144.072,-8.393,0.58,0.77,0,0.000127,0.753,hype
6,family ties (with Kendrick Lamar),Baby Keem,252262,"hip hop, rap",134.093,-5.453,0.611,0.711,1,0.0,0.144,hype
7,Got It On Me,Pop Smoke,164579,"brooklyn drill, rap",88.834,-7.258,0.647,0.688,2,1.65e-05,0.195,hype
8,Mo Bamba,Sheck Wes,183906,"pop rap, rap, trap",146.034,-5.266,0.625,0.729,4,0.00986,0.261,hype
9,Lucky You (feat. Joyner Lucas),Eminem,244679,"detroit hip hop, hip hop, rap",153.068,-4.884,0.786,0.876,10,0.0,0.575,hype
10,Go Stupid,Polo G,165726,"chicago rap, rap",141.034,-3.18,0.833,0.92,1,0.0,0.645,hype
11,Stronger,Kanye West,311866,"chicago rap, hip hop, rap",103.992,-7.858,0.717,0.617,10,0.0,0.49,hype
12,Runnin,21 Savage,195906,"atl hip hop, hip hop, rap",143.01,-4.574,0.626,0.819,10,0.101,0.415,hype
13,WAP (feat. Megan Thee Stallion),Cardi B,187541,"pop, rap",133.073,-7.509,0.454,0.935,1,0.0,0.357,hype
14,Born For This,The Score,237375,"modern alternative rock, pov: indie",130.134,-6.251,0.675,0.411,5,0.0,0.545,hype
15,Freestyle,Lil Baby,162053,"atl hip hop, atl trap, rap, trap",119.996,-5.426,0.517,0.877,2,0.0,0.255,hype
16,Trophies,Young Money,188320,"dirty south rap, pop rap, rap, southern hip hop, trap",143.931,-7.475,0.687,0.746,1,0.0,0.283,hype
17,Live Another Day,Kordhell,133565,drift phonk,115.005,-1.321,0.981,0.822,9,0.748,0.404,hype
18,Princess Diana (with Nicki Minaj),Ice Spice,172125,bronx drill,147.991,-5.196,0.676,0.898,9,0.0,0.742,hype
19,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,263773,"atl hip hop, dirty south rap, rap, southern hip hop, trap",131.497,-6.366,0.595,0.76,1,0.0,0.361,hype
20,Godzilla (feat. Juice WRLD),Eminem,210800,"detroit hip hop, hip hop, rap",165.995,-5.26,0.745,0.808,10,0.0,0.829,hype
21,I Get the Bag (feat. Migos),Gucci Mane,233087,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap",139.948,-5.475,0.633,0.89,11,0.000343,0.425,hype
