,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,Upwards,Edmund's Oasis,123359,,73.04,-34.824,0.00243,0.0913,1,0.877,0.0342,calm
1,Conclusions,Ami Sanou,202105,,90.303,-28.297,0.0195,0.105,0,0.929,0.031,calm
2,distant star,nite sky,158000,"color noise, healing hz, sleep",68.338,-37.553,0.0102,0.217,0,0.919,0.116,calm
3,Andromeda,Lonely Roads,196153,,71.514,-31.533,0.0253,0.211,0,0.833,0.038,calm
4,Angelus,Yaalani,142053,,73.149,-31.557,0.0544,0.271,11,0.762,0.0676,calm
5,Avori,Mirova,171419,,67.146,-30.97,0.0303,0.0658,0,0.92,0.0389,calm
6,A Mirror Appears,Ramel Alloy,123982,,68.457,-37.107,0.00556,0.072,9,0.912,0.297,calm
7,Transformation,Occas,152000,,73.574,-29.893,0.0141,0.157,0,0.795,0.0605,calm
8,Towards Silence,Lugar,174000,sleep,142.691,-34.01,0.0232,0.138,0,0.956,0.111,calm
9,Coincide,Edwin Maled,134680,,124.053,-30.137,0.0356,0.352,11,0.735,0.0398,calm
10,Intervention,Danoa,175018,,82.856,-36.609,0.00285,0.08,11,0.739,0.0591,calm
11,celestial sojourn,AOI,200000,organic ambient,82.317,-34.788,0.0131,0.0776,5,0.763,0.038,calm
12,Arp Of Life,Bjørg Stigbjørnson,198162,sleep,70.412,-31.018,0.0367,0.183,0,0.877,0.0389,calm
13,Sonno scintillante,Ombra Oscura,123125,,97.054,-29.647,0.0355,0.143,6,0.774,0.155,calm
14,Tikslingas,Teo Walter,211880,,66.071,-32.27,0.0312,0.222,10,0.838,0.0832,calm
15,Frozen In Time,Jin Eun-Kyung,203728,,140.308,-34.204,0.00752,0.141,0,0.633,0.0296,calm
16,Unkai,Kazunobu Nishiyama,216000,,61.955,-24.003,0.0966,0.276,0,0.891,0.105,calm
17,Waves are coming,Nicole Rosario,233055,,74.674,-28.364,0.00401,0.191,6,0.934,0.128,calm
18,Ocelot,Emancipator,276080,"downtempo, livetronica, trip hop",93.01,-7.271,0.478,0.588,9,0.922,0.314,calm
19,Nothing It Can,Helios,287520,"compositional ambient, instrumental post-rock, space ambient",109.007,-12.333,0.245,0.181,1,0.899,0.0366,calm
20,Silent Motion,JOMALU,179000,,79.314,-36.199,0.018,0.208,0,0.943,0.0833,calm
21,Focus One,Yoro Kobuto,211465,,130.214,-27.845,0.0431,0.268,4,0.902,0.0383,calm
22,Unsaid,Nowun,148571,lo-fi study,192.015,-24.91,0.0688,0.247,6,0.868,0.0713,calm
23,Cepheid,Stellardrone,272727,space ambient,178.131,-22.178,0.161,0.0895,8,0.956,0.0324,calm
24,raindots,Norvik,192000,organic ambient,60.876,-35.142,0.0102,0.205,11,0.904,0.0321,calm
25,Fade To Green,Sacred Orb,148285,,65.597,-36.713,0.00125,0.209,7,0.86,0.132,calm
26,Crystal Clear,Joborja Perc,135100,,111.936,-22.617,0.0713,0.429,5,0.975,0.0838,calm
27,Magnificent,The Bay Man,173944,,101.908,-29.753,0.00271,0.583,3,0.905,0.694,calm
28,Brooding,Enchanted Candlestick,148259,,159.865,-33.428,0.0797,0.358,5,0.942,0.93,calm
29,Silkolene,Ageena,145418,background music,84.414,-35.313,0.0083,0.0825,7,0.878,0.102,calm
30,Naslednjič,Fabijan Spaći,195500,,131.804,-32.466,0.0486,0.161,2,0.932,0.0548,calm
31,Hidden Track,DEVOTED,172800,,72.278,-25.604,0.0031,0.252,6,0.901,0.0702,calm
32,A Free Mind,Ami Sanou,210072,,83.44,-30.326,0.0148,0.0817,1,0.737,0.0277,calm
33,Selina's Lullaby,Phabels,138500,,91.807,-25.439,0.0768,0.173,5,0.951,0.0664,calm
34,Healing Stones,Solarixo,157090,,110.02,-16.924,0.142,0.9,0,0.925,0.0898,calm
35,Surface,Lerone Gios,126774,,123.687,-36.187,0.019,0.267,1,0.904,0.037,calm
36,Lätt,Soulgarden,130000,,71.853,-32.582,0.00752,0.231,0,0.946,0.0327,calm
