,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,Here Comes The Sun - Remastered 2009,The Beatles,185733,"british invasion, classic rock, merseybeat, psychedelic rock, rock",129.171,-10.484,0.54,0.557,9,0.00248,0.394,happy
1,Send Me On My Way,Rusted Root,263360,"jam band, pittsburgh rock",119.463,-8.797,0.704,0.5,0,1.79e-05,0.722,happy
2,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,161160,"motown, soul",108.875,-11.329,0.597,0.675,5,0.0,0.828,happy
3,Hooked On A Feeling,Blue Swede,172866,classic swedish pop,118.208,-6.728,0.82,0.547,8,0.0,0.933,happy
4,I'm a Believer - 2006 Remaster,The Monkees,167373,"album rock, beatlesque, bubblegum pop, classic rock, folk rock, heartland rock, mellow gold, psychedelic rock, rock-and-roll, singer-songwriter, soft rock, sunshine pop",80.106,-6.05,0.775,0.526,0,2.05e-05,0.962,happy
5,Three Little Birds,Bob Marley & The Wailers,180266,"reggae, roots reggae",148.404,-10.493,0.482,0.814,9,1.57e-06,0.615,happy
6,Superstition - Single Version,Stevie Wonder,245493,"motown, soul",100.499,-12.115,0.634,0.633,8,0.0064,0.872,happy
7,Sweet Caroline,Neil Diamond,203573,"adult standards, brill building pop, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock, yacht rock",63.05,-16.066,0.127,0.529,11,0.000109,0.578,happy
8,Jessie's Girl,Rick Springfield,194120,"album rock, australian rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, new romantic, new wave pop, soft rock, yacht rock",131.7,-5.851,0.834,0.727,2,0.0,0.816,happy
9,Stayin' Alive,Bee Gees,285373,"disco, mellow gold, soft rock",103.564,-7.179,0.826,0.703,10,0.00629,0.945,happy
10,Sir Duke,Stevie Wonder,232760,"motown, soul",106.938,-9.766,0.568,0.588,6,0.0,0.952,happy
