,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,On That Time,Playboi Carti,102421,"atl hip hop, plugg, pluggnb, rage rap, rap",150.078,-3.673,0.476,0.598,0,0.0,0.0545,hype
1,Eternal War,Bolt Thrower,127706,"british death metal, brutal death metal, death metal, deathgrind, metal, technical death metal",88.843,-6.367,0.986,0.139,0,0.708,0.0341,hype
2,Blood Fire Death,Bathory,630073,"autonomous black metal, black metal, black thrash, metal, old school thrash, pagan black metal, swedish black metal, swedish metal, thrash metal, viking black metal, viking metal",123.905,-8.876,0.927,0.323,4,0.819,0.0374,hype
3,444+222,Lil Uzi Vert,247347,"hip hop, melodic rap, philly rap, rage rap, rap",76.997,-6.568,0.513,0.791,10,2.83e-05,0.481,hype
4,Big tonka (feat. Lil Uzi Vert),Yeat,207760,"pluggnb, rage rap",130.082,-7.081,0.67,0.667,10,0.0,0.208,hype
5,Early 20 Rager,Lil Uzi Vert,274880,"hip hop, melodic rap, philly rap, rage rap, rap",127.001,-6.057,0.68,0.651,8,0.0,0.092,hype
6,Miss The Rage (feat. Playboi Carti),Trippie Redd,236883,"melodic rap, rap, trap",77.006,-4.938,0.877,0.581,8,0.0,0.353,hype
7,Black Mass,Destruction,239306,"death metal, german metal, german thrash metal, metal, old school thrash, thrash metal",183.333,-6.165,0.988,0.162,4,0.0772,0.168,hype
8,5unna,Homixide Gang,100414,rage rap,146.223,-6.327,0.641,0.688,11,0.0,0.553,hype
9,Smooktobër,Yeat,175266,"pluggnb, rage rap",148.051,-8.631,0.432,0.663,8,0.034,0.111,hype
10,Waves,Kanye West,181573,"chicago rap, hip hop, rap",96.091,-4.57,0.586,0.557,10,7.33e-06,0.0681,hype
11,CIGARETTE,Lil Uzi Vert,182452,"hip hop, melodic rap, philly rap, rage rap, rap",124.998,-5.305,0.628,0.701,8,0.0,0.264,hype
12,Speed Demon (King Of Kings) - Extended,Oda,278000,,156.039,-6.158,0.986,0.483,5,0.0,0.389,hype
13,Golden Age,Max Coveri,349220,"eurobeat, super eurobeat",155.673,-8.882,0.935,0.596,10,0.00547,0.963,hype
14,Final Destination,Cody,210301,,162.09,-3.442,0.99,0.515,6,0.0,0.95,hype
15,My king is You,Leslie Parrish,316370,"eurobeat, super eurobeat",154.973,-2.671,0.997,0.511,7,3.76e-06,0.707,hype
16,KILLING MY LOVE,Leslie Parrish,294466,"eurobeat, super eurobeat",156.191,-7.265,0.887,0.595,1,1.15e-05,0.725,hype
17,LOVE IS IN DANGER,Priscilla,290233,super eurobeat,154.467,-6.858,0.978,0.54,1,0.341,0.858,hype
18,LOST INTO THE NIGHT,ELISA,295200,,158.023,-5.44,0.956,0.521,1,0.00683,0.801,hype
19,Save Me - Extended,Leslie Parrish,338156,"eurobeat, super eurobeat",155.767,-7.05,0.938,0.44,10,0.000333,0.699,hype
20,When The Sun Goes Down - Extended Version,KEN BLAST,291877,"eurobeat, super eurobeat",155.024,-6.111,0.973,0.528,6,0.158,0.823,hype
21,Fighter - Extended Mix,Marko Polo,291851,super eurobeat,161.971,-6.24,0.953,0.522,9,0.000343,0.785,hype
22,BLACK OUT,Overload,298533,super eurobeat,157.969,-5.776,0.943,0.495,0,0.00177,0.579,hype
23,NIGHT & DAY,Mr Groove,311300,super eurobeat,75.659,-5.074,0.985,0.38,1,5.3e-05,0.871,hype
24,BACK ON THE ROCKS,MEGA NRG MAN,288000,"eurobeat, super eurobeat",156.047,-3.316,0.995,0.477,0,0.00477,0.587,hype
25,DON'T STOP THE MUSIC,Lou Grant,288100,super eurobeat,159.929,-4.352,0.954,0.609,1,8.29e-06,0.757,hype
26,BURNING UP FOR YOU,Sara,289466,super eurobeat,156.585,-5.108,0.96,0.466,1,0.0172,0.344,hype
27,BEAT OF THE RISING SUN - Extended ver.,dave rodgers,241641,super eurobeat,148.094,-6.191,0.956,0.519,3,1.35e-06,0.729,hype
28,DANCING,Vicky Vale,286266,super eurobeat,160.151,-5.614,0.912,0.59,1,0.00323,0.856,hype
