,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,SAD!,XXXTENTACION,166605,"emo rap, miami hip hop",75.023,-4.88,0.613,0.74,8,0.00372,0.473,sad
1,Moonlight,XXXTENTACION,135090,"emo rap, miami hip hop",128.009,-5.723,0.537,0.921,9,0.00404,0.711,sad
2,changes,XXXTENTACION,121886,"emo rap, miami hip hop",64.934,-10.068,0.308,0.669,11,0.0,0.52,sad
3,Fuck Love,XXXTENTACION,146520,"emo rap, miami hip hop",131.036,-9.74,0.533,0.797,0,0.000152,0.329,sad
4,Jaded,Drake,262453,"canadian hip hop, canadian pop, hip hop, pop rap, rap",116.019,-5.697,0.271,0.764,0,0.0,0.0371,sad
5,The Sequence,Bryson Tiller,194013,"kentucky hip hop, r&b, rap",131.194,-8.504,0.498,0.529,1,0.0,0.54,sad
6,Nights,Frank Ocean,307151,"lgbtq+ hip hop, neo soul",89.87,-9.36,0.551,0.457,5,1.15e-06,0.428,sad
7,Coloring,Kevin Garrett,219973,"nyc pop, pittsburgh indie",76.025,-10.075,0.264,0.645,0,0.064,0.221,sad
8,the remedy for a broken heart (why am I so in love),XXXTENTACION,160184,"emo rap, miami hip hop",119.705,-11.192,0.304,0.699,1,0.000993,0.271,sad
9,NUMB,XXXTENTACION,186267,"emo rap, miami hip hop",159.91,-8.024,0.416,0.414,11,0.179,0.196,sad
10,Hope,XXXTENTACION,110886,"emo rap, miami hip hop",146.04,-6.081,0.457,0.592,9,0.000331,0.225,sad
11,Depression & Obsession,XXXTENTACION,144733,"emo rap, miami hip hop",105.95,-10.7,0.156,0.769,11,0.015,0.527,sad
12,Everybody Dies In Their Nightmares,XXXTENTACION,95466,"emo rap, miami hip hop",129.953,-7.066,0.57,0.734,7,2.14e-05,0.689,sad
13,Jocelyn Flores,XXXTENTACION,119133,"emo rap, miami hip hop",134.021,-9.144,0.391,0.872,0,4.13e-06,0.437,sad
14,Over My Dead Body,Drake,272573,"canadian hip hop, canadian pop, hip hop, pop rap, rap",185.516,-10.291,0.57,0.489,1,2.1e-06,0.584,sad
15,Shot For Me,Drake,224720,"canadian hip hop, canadian pop, hip hop, pop rap, rap",143.015,-11.714,0.465,0.566,2,0.0,0.177,sad
16,Take Care,Drake,277386,"canadian hip hop, canadian pop, hip hop, pop rap, rap",121.845,-10.358,0.515,0.629,0,1.22e-05,0.299,sad
17,Cameras / Good Ones Go Interlude - Medley,Drake,434960,"canadian hip hop, canadian pop, hip hop, pop rap, rap",139.92,-11.18,0.403,0.441,2,1.27e-05,0.158,sad
18,Doing It Wrong,Drake,265120,"canadian hip hop, canadian pop, hip hop, pop rap, rap",101.275,-15.698,0.172,0.397,6,6.78e-05,0.123,sad
19,The Real Her,Drake,321080,"canadian hip hop, canadian pop, hip hop, pop rap, rap",65.041,-14.254,0.309,0.567,8,0.0,0.509,sad
20,Look What You've Done,Drake,301960,"canadian hip hop, canadian pop, hip hop, pop rap, rap",134.369,-14.669,0.351,0.495,3,0.0,0.271,sad
21,Practice,Drake,237733,"canadian hip hop, canadian pop, hip hop, pop rap, rap",104.675,-15.327,0.239,0.446,1,7.76e-05,0.31,sad
22,The Ride,Drake,351000,"canadian hip hop, canadian pop, hip hop, pop rap, rap",155.948,-10.079,0.702,0.556,0,0.0,0.793,sad
23,Redemption,Drake,333946,"canadian hip hop, canadian pop, hip hop, pop rap, rap",119.905,-7.82,0.314,0.694,0,2.07e-06,0.341,sad
24,U With Me?,Drake,297373,"canadian hip hop, canadian pop, hip hop, pop rap, rap",174.983,-11.373,0.43,0.429,2,1.18e-05,0.125,sad
25,Fire & Desire,Drake,238120,"canadian hip hop, canadian pop, hip hop, pop rap, rap",79.923,-14.411,0.252,0.722,1,0.0,0.275,sad
26,The Resistance,Drake,225360,"canadian hip hop, canadian pop, hip hop, pop rap, rap",82.589,-8.127,0.741,0.547,0,0.0,0.637,sad
27,Own It,Drake,251973,"canadian hip hop, canadian pop, hip hop, pop rap, rap",103.064,-11.305,0.342,0.654,8,3.37e-05,0.294,sad
28,Jungle,Drake,320400,"canadian hip hop, canadian pop, hip hop, pop rap, rap",99.947,-8.651,0.235,0.697,7,0.000144,0.378,sad
29,Lose You,Drake,305373,"canadian hip hop, canadian pop, hip hop, pop rap, rap",89.837,-9.172,0.583,0.526,4,0.0,0.378,sad
30,Finesse,Drake,182080,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94.992,-8.152,0.319,0.807,0,0.000338,0.299,sad
31,March 14,Drake,309560,"canadian hip hop, canadian pop, hip hop, pop rap, rap",127.094,-7.355,0.414,0.558,10,0.0,0.318,sad
32,Summer Games,Drake,247893,"canadian hip hop, canadian pop, hip hop, pop rap, rap",136.008,-11.269,0.482,0.776,1,0.0456,0.134,sad
33,Exchange,Bryson Tiller,194613,"kentucky hip hop, r&b, rap",160.108,-10.598,0.433,0.525,6,0.0,0.276,sad
34,Don't,Bryson Tiller,198293,"kentucky hip hop, r&b, rap",96.991,-5.556,0.356,0.765,11,0.0,0.189,sad
35,Run Me Dry,Bryson Tiller,169266,"kentucky hip hop, r&b, rap",193.88,-9.017,0.756,0.646,9,3e-05,0.602,sad
36,Canceled,Bryson Tiller,183960,"kentucky hip hop, r&b, rap",94.034,-5.173,0.611,0.767,5,0.0116,0.11,sad
37,Right My Wrongs,Bryson Tiller,249320,"kentucky hip hop, r&b, rap",132.609,-8.065,0.449,0.543,1,0.0,0.29,sad
38,Let Em' Know,Bryson Tiller,261880,"kentucky hip hop, r&b, rap",110.551,-11.44,0.406,0.489,9,0.0,0.178,sad
39,For However Long,Bryson Tiller,124853,"kentucky hip hop, r&b, rap",100.033,-6.788,0.644,0.584,5,0.0,0.415,sad
40,Sorry Not Sorry,Bryson Tiller,200760,"kentucky hip hop, r&b, rap",97.934,-6.093,0.608,0.681,1,0.0,0.262,sad
41,Been That Way,Bryson Tiller,199320,"kentucky hip hop, r&b, rap",183.279,-6.475,0.759,0.527,6,0.0,0.802,sad
42,Overtime,Bryson Tiller,218253,"kentucky hip hop, r&b, rap",106.049,-7.689,0.497,0.657,1,0.0,0.593,sad
43,Call Out My Name,The Weeknd,228373,"canadian contemporary r&b, canadian pop, pop",134.045,-4.929,0.598,0.489,1,0.0,0.172,sad
44,Wasted Times,The Weeknd,220293,"canadian contemporary r&b, canadian pop, pop",122.699,-6.049,0.674,0.562,10,2.04e-05,0.293,sad
45,Die For You,The Weeknd,260252,"canadian contemporary r&b, canadian pop, pop",133.249,-7.163,0.525,0.582,1,0.0,0.51,sad
46,True Colors,The Weeknd,206013,"canadian contemporary r&b, canadian pop, pop",76.671,-8.237,0.424,0.624,1,0.0,0.584,sad
47,Acquainted,The Weeknd,348853,"canadian contemporary r&b, canadian pop, pop",105.36,-9.874,0.481,0.38,7,0.0,0.237,sad
48,PRBLMS,6LACK,246773,"atl hip hop, melodic rap, r&b, rap, trap",68.58,-4.574,0.58,0.417,9,1.45e-06,0.139,sad
49,Never Know,6LACK,249680,"atl hip hop, melodic rap, r&b, rap, trap",95.223,-9.021,0.571,0.645,5,3.32e-06,0.184,sad
50,Rules,6LACK,211866,"atl hip hop, melodic rap, r&b, rap, trap",147.045,-6.13,0.758,0.682,8,0.00158,0.638,sad
51,Free,6LACK,263013,"atl hip hop, melodic rap, r&b, rap, trap",123.961,-5.088,0.535,0.755,2,4.99e-06,0.38,sad
52,Learn Ya,6LACK,215680,"atl hip hop, melodic rap, r&b, rap, trap",81.576,-8.692,0.527,0.416,0,0.00312,0.202,sad
53,MTFU,6LACK,208320,"atl hip hop, melodic rap, r&b, rap, trap",111.838,-10.181,0.488,0.467,10,2.81e-05,0.267,sad
54,Luving U,6LACK,252893,"atl hip hop, melodic rap, r&b, rap, trap",121.962,-9.506,0.471,0.723,10,0.000881,0.135,sad
55,Gettin' Old,6LACK,215000,"atl hip hop, melodic rap, r&b, rap, trap",80.01,-12.369,0.4,0.743,11,0.000311,0.229,sad
56,Worst Luck,6LACK,206133,"atl hip hop, melodic rap, r&b, rap, trap",177.869,-9.244,0.518,0.327,5,0.000795,0.153,sad
57,Ex Calling,6LACK,211960,"atl hip hop, melodic rap, r&b, rap, trap",155.976,-7.241,0.564,0.773,1,1.99e-05,0.0588,sad
58,Alone / EA6,6LACK,553853,"atl hip hop, melodic rap, r&b, rap, trap",124.767,-7.642,0.66,0.448,9,0.000465,0.119,sad
59,One Way (feat. T-Pain) - Bonus,6LACK,286956,"atl hip hop, melodic rap, r&b, rap, trap",184.061,-8.911,0.406,0.425,4,3.59e-06,0.124,sad
60,Coaster,Khalid,199120,"pop, pop r&b",94.021,-14.586,0.219,0.441,8,0.0,0.244,sad
61,Triste,Bryant Myers,264905,"reggaeton, reggaeton flow, trap latino, urbano latino",130.05,-5.379,0.724,0.693,9,0.0,0.263,sad
62,Te Vas,Ozuna,196520,"puerto rican pop, reggaeton, trap latino, urbano latino",176.03,-11.894,0.291,0.796,5,0.0,0.923,sad
63,Amorfoda,Bad Bunny,155675,"reggaeton, trap latino, urbano latino",148.005,-7.539,0.432,0.742,9,5.78e-05,0.252,sad
64,East Atlanta Love Letter (feat. Future),6LACK,246088,"atl hip hop, melodic rap, r&b, rap, trap",61.381,-11.947,0.315,0.581,5,1.68e-05,0.185,sad
65,Could've Been (feat. Bryson Tiller),H.E.R.,248466,"r&b, rap",103.553,-11.719,0.33,0.545,1,7e-06,0.399,sad
66,With Me,dvsn,419500,"canadian contemporary r&b, r&b",110.011,-8.651,0.466,0.771,0,0.000761,0.245,sad
67,All Girls Are The Same,Juice WRLD,169295,"chicago rap, melodic rap, rap",161.925,-9.727,0.449,0.673,0,0.00115,0.216,sad
68,Hallucinations,dvsn,246293,"canadian contemporary r&b, r&b",95.976,-8.993,0.398,0.765,7,8.48e-06,0.348,sad
69,Think About Me,dvsn,246240,"canadian contemporary r&b, r&b",105.027,-10.202,0.294,0.547,7,0.786,0.11,sad
70,Body Talk,Majid Jordan,207057,"canadian contemporary r&b, canadian hip hop",91.979,-8.916,0.507,0.789,6,0.0,0.226,sad
71,OG Heartthrob,Majid Jordan,268693,"canadian contemporary r&b, canadian hip hop",99.985,-10.451,0.415,0.698,8,0.0,0.321,sad
72,Gave Your Love Away,Majid Jordan,285160,"canadian contemporary r&b, canadian hip hop",100.989,-5.487,0.47,0.826,5,0.00337,0.541,sad
73,What You Do to Me,Majid Jordan,216280,"canadian contemporary r&b, canadian hip hop",101.726,-12.363,0.337,0.728,2,0.0,0.21,sad
74,Why,Roy Woods,262343,"canadian contemporary r&b, canadian hip hop",158.061,-6.115,0.468,0.577,4,0.00838,0.237,sad
75,Down Girl,Roy Woods,169604,"canadian contemporary r&b, canadian hip hop",102.069,-9.214,0.507,0.797,1,0.0,0.447,sad
76,How I Feel,Roy Woods,223880,"canadian contemporary r&b, canadian hip hop",112.045,-8.912,0.466,0.8,0,0.00308,0.0778,sad
77,Gwan Big up Urself,Roy Woods,200000,"canadian contemporary r&b, canadian hip hop",90.027,-7.397,0.527,0.674,5,0.0,0.272,sad
78,You Love It,Roy Woods,186358,"canadian contemporary r&b, canadian hip hop",136.014,-10.391,0.572,0.559,6,1.67e-05,0.216,sad
79,Sonic Boom,Roy Woods,184874,"canadian contemporary r&b, canadian hip hop",141.961,-10.134,0.437,0.409,5,0.0193,0.149,sad
80,Love You,Roy Woods,197720,"canadian contemporary r&b, canadian hip hop",203.893,-10.414,0.399,0.541,11,6.02e-05,0.392,sad
81,Come Thru,Drake,236360,"canadian hip hop, canadian pop, hip hop, pop rap, rap",81.94,-5.815,0.468,0.472,3,0.0,0.404,sad
82,Feel No Ways,Drake,240653,"canadian hip hop, canadian pop, hip hop, pop rap, rap",193.818,-7.081,0.677,0.582,7,6.6e-06,0.205,sad
83,Best I Ever Had,Drake,257760,"canadian hip hop, canadian pop, hip hop, pop rap, rap",161.776,-4.874,0.861,0.427,1,0.0,0.581,sad
84,Furthest Thing,Drake,267373,"canadian hip hop, canadian pop, hip hop, pop rap, rap",137.101,-5.264,0.78,0.484,9,0.0,0.271,sad
85,Too Good,Drake,263373,"canadian hip hop, canadian pop, hip hop, pop rap, rap",117.996,-7.839,0.653,0.794,7,4.88e-05,0.397,sad
86,Close Friends (Lil Baby & Gunna),Lil Baby,203881,"atl hip hop, atl trap, rap, trap",158.896,-4.669,0.578,0.676,10,0.0,0.698,sad
87,Let Me Explain,Bryson Tiller,223969,"kentucky hip hop, r&b, rap",120.065,-3.201,0.504,0.809,2,0.0,0.525,sad
