,track_name,artist,duration_ms,genres,tempo,loudness,energy,danceability,key,instrumentalness,valence,emotion
0,Sparks,Coldplay,227093,"permanent wave, pop",102.617,-10.506,0.268,0.371,1,0.0517,0.165,sad
1,i was all over her,salvia palth,161462,"countrygaze, lo-fi emo, lo-fi indie, pov: indie, slowcore, small room",104.557,-12.835,0.353,0.529,7,0.853,0.0601,sad
2,listen before i go,Billie Eilish,242652,"art pop, pop",79.764,-23.023,0.0561,0.319,0,0.00384,0.082,sad
3,drivers license,Olivia Rodrigo,242013,pop,143.875,-8.81,0.431,0.561,10,1.42e-05,0.137,sad
4,Dancing On My Own,Calum Scott,260285,pop,112.672,-8.745,0.174,0.681,1,3.35e-05,0.231,sad
5,Where's My Love,SYML,202000,"indie anthem-folk, modern indie pop",103.985,-10.109,0.36,0.604,0,0.0343,0.37,sad
6,Hold Me While You Wait,Lewis Capaldi,205686,"pop, uk pop",106.958,-5.507,0.53,0.688,11,0.0,0.162,sad
7,Train Wreck,James Arthur,208826,"pop, talent show, uk pop",77.355,-5.726,0.485,0.311,6,0.0,0.225,sad
8,My Love Mine All Mine,Mitski,137773,"brooklyn indie, pov: indie",113.95,-14.958,0.308,0.504,9,0.135,0.121,sad
9,Easy On Me,Adele,224694,"british soul, pop, pop soul, uk pop",141.981,-7.519,0.366,0.604,5,0.0,0.13,sad
10,Bubble Gum,Clairo,175960,"bedroom pop, indie pop, pov: indie",207.97,-24.639,0.0167,0.509,9,2.72e-05,0.229,sad
11,Jealous,Labrinth,287693,"indie poptimism, pop",116.76,-8.95,0.153,0.439,1,0.0,0.104,sad
12,that way,Tate McRae,175026,"alt z, pop",105.029,-11.015,0.383,0.453,0,0.0,0.333,sad
13,Happier,Ed Sheeran,207520,"pop, singer-songwriter pop, uk pop",89.792,-7.355,0.385,0.522,0,0.0,0.236,sad
14,i love you,Billie Eilish,291796,"art pop, pop",137.446,-18.435,0.131,0.421,0,0.00453,0.12,sad
15,Falling Apart,Michael Schulte,198573,"german pop, talentschau",109.789,-9.355,0.333,0.543,7,3.87e-06,0.261,sad
16,Where's My Love - Acoustic,SYML,239880,"indie anthem-folk, modern indie pop",104.007,-11.324,0.225,0.554,3,0.0321,0.221,sad
17,Que Lloro,Sin Bandera,240613,"latin arena pop, latin pop, mexican pop",139.948,-9.774,0.415,0.593,9,4.86e-06,0.323,sad
18,Talking to the Moon,Bruno Mars,217866,"dance pop, pop",145.867,-4.721,0.59,0.498,1,0.0,0.0784,sad
19,Sial,Mahalini,243724,indonesian pop,119.998,-6.785,0.433,0.562,2,2.13e-06,0.192,sad
20,Family Line,Conan Gray,216094,"bedroom pop, pop, pov: indie",153.713,-8.145,0.397,0.326,6,0.0,0.276,sad
21,Blue Hair,TV Girl,217000,pov: indie,135.73,-6.376,0.72,0.751,4,0.0497,0.884,sad
22,traitor,Olivia Rodrigo,229226,pop,100.607,-7.885,0.339,0.38,3,0.0,0.0849,sad
23,you broke me first,Tate McRae,169265,"alt z, pop",124.148,-9.389,0.373,0.667,4,0.0,0.0823,sad
24,Can We Kiss Forever?,Kina,187931,"sad lo-fi, slowed and reverb",109.986,-18.717,0.128,0.522,4,0.026,0.124,sad
25,lovely (with Khalid),Billie Eilish,200185,"art pop, pop",115.284,-10.109,0.296,0.351,4,0.0,0.12,sad
26,Heart To Heart,Mac DeMarco,211140,"edmonton indie, lo-fi indie, pov: indie",150.076,-16.127,0.136,0.901,8,0.354,0.643,sad
27,I Found,Amber Run,273000,indie anthem-folk,124.949,-12.481,0.303,0.567,7,0.00563,0.252,sad
28,Revenge,XXXTENTACION,120026,"emo rap, miami hip hop",139.999,-16.169,0.251,0.746,11,0.00203,0.18,sad
29,July,Noah Cyrus,156106,"alt z, pop",72.541,-8.953,0.186,0.708,9,0.0,0.322,sad
30,Gilded Lily,Cults,212736,"experimental pop, indie surf, pov: indie",61.859,-6.534,0.571,0.4,11,3.05e-05,0.146,sad
31,Fix You,Coldplay,295533,"permanent wave, pop",138.178,-8.74,0.417,0.209,3,0.00196,0.124,sad
32,If By Chance,Ruth B.,303653,"alt z, canadian contemporary r&b, canadian pop, pop",119.85,-8.099,0.279,0.405,10,0.0,0.256,sad
33,Colapso,Kevin Kaarl,235470,indie triste,75.004,-17.237,0.216,0.544,7,0.311,0.145,sad
34,One Day,Tate McRae,202340,"alt z, pop",71.684,-9.522,0.153,0.436,0,0.0,0.415,sad
35,Me Soltaste,Jesse & Joy,229933,"latin arena pop, latin pop, mexican pop",111.661,-6.038,0.398,0.4,10,3.47e-06,0.16,sad
36,TV,Billie Eilish,281380,"art pop, pop",140.214,-15.159,0.236,0.412,4,0.00653,0.119,sad
37,The Night We Met,Lord Huron,208211,"indie folk, stomp and holler",87.01,-9.514,0.369,0.544,2,0.279,0.102,sad
38,Runtuh,Feby Putri,223973,indonesian pop,127.783,-13.164,0.287,0.593,3,0.000136,0.191,sad
39,Apocalypse,Cigarettes After Sex,290616,"ambient pop, dream pop, el paso indie, shoegaze",94.485,-9.013,0.467,0.37,5,0.572,0.182,sad
40,Stone Cold,Demi Lovato,191307,"pop, post-teen pop",140.327,-7.685,0.453,0.419,8,0.0,0.356,sad
41,It'll Be Okay,Shawn Mendes,222800,"canadian pop, pop, viral pop",78.262,-11.881,0.286,0.398,7,0.000146,0.0666,sad
42,Little Do You Know,Alex & Sierra,185200,"pop, post-teen pop",145.879,-8.554,0.292,0.5,0,0.0,0.37,sad
43,Telephones,Vacations,212432,"newcastle nsw indie, pov: indie",74.995,-9.268,0.447,0.526,2,0.0301,0.183,sad
44,Jocelyn Flores,XXXTENTACION,119133,"emo rap, miami hip hop",134.021,-9.144,0.391,0.872,0,4.13e-06,0.437,sad
45,Resah Jadi Luka,Daun Jatuh,290466,indonesian folk pop,99.891,-14.6,0.266,0.32,2,0.237,0.177,sad
